
,name,link,price,closest_town,region,total_len,easy_len,intermediate_len,difficult_len,geometry,state,website,lat,lon
146,Butternut,https://www.skiresort.info/ski-resort/butternut/,65.0,Great Barrington,Massachusetts,22.0,4.4,13.2,4.4,,,,,
147,Showdown,https://www.skiresort.info/ski-resort/showdown/,47.0,White Sulphur Springs,Montana,20.0,6.0,8.0,6.0,"[-110.70831932358078, 46.836084195414834]",Montana,,-110.70831932358078,46.836084195414834
148,Cascade Mountain,https://www.skiresort.info/ski-resort/cascade-mountain/,69.0,,Wisconsin,14.0,5.0,5.0,4.0,"[-89.51606772903223, 43.499764819354844]",Wisconsin,,-89.51606772903223,43.499764819354844
149,Cascade Mountain,https://www.skiresort.info/ski-resort/cascade-mountain/,69.0,,Wisconsin,14.0,5.0,5.0,4.0,"[-80.66531181335394, 36.661525482754]",Virginia,http://www.dcski.com/lostareas/viewlostprofile.php?id=8,-80.66531181335394,36.661525482754
150,Cherry Peak,https://www.skiresort.info/ski-resort/cherry-peak/,40.0,Logan,Utah,20.0,5.0,10.0,5.0,"[-111.75468453014086, 41.92171100225353]",Utah,http://skicpr.com/index.html,-111.75468453014086,41.92171100225353
151,Seven Springs,https://www.skiresort.info/ski-resort/seven-springs/,89.0,Champion,Pennsylvania,17.0,6.0,7.0,4.0,"[-79.30402658849933, 40.02350977910237]",Pennsylvania,,-79.30402658849933,40.02350977910237
152,Deer Mountain  (temporarily closed),https://www.skiresort.info/ski-resort/deer-mountain/,,Lead,South Dakota,22.0,10.0,7.0,5.0,,,,,
153,Red River,https://www.skiresort.info/ski-resort/red-river/,79.0,Red River,New Mexico,20.0,7.0,6.0,7.0,,,,,
154,Burke Mountain,https://www.skiresort.info/ski-resort/burke-mountain/,73.0,Saint Johnsbury,Vermont,10.0,2.0,4.0,4.0,"[-71.89855394825985, 44.579065158584804]",Vermont,http://www.skiburke.com/,-71.89855394825985,44.579065158584804
155,Nordic Valley,https://www.skiresort.info/ski-resort/nordic-valley/,50.0,Eden,Utah,9.5,2.5,4.0,3.0,,,,,
156,Eagle Point,https://www.skiresort.info/ski-resort/eagle-point/,70.0,Beaver,Utah,20.0,6.0,9.0,5.0,"[-112.37800063523929, 38.322839445457475]",Utah,http://www.skieaglepoint.com,-112.37800063523929,38.322839445457475
157,Greek Peak,https://www.skiresort.info/ski-resort/greek-peak/,84.0,Virgil,Finger Lakes,19.0,9.0,4.0,6.0,,,,,
158,Wintergreen Resort,https://www.skiresort.info/ski-resort/wintergreen-resort/,89.0,Wintergreen,Virginia,10.0,2.0,4.0,4.0,,,,,
159,Mountain High West,https://www.skiresort.info/ski-resort/mountain-high-west/,84.0,Wrightwood,California,15.0,3.0,5.0,7.0,,,,,
160,Spirit Mountain,https://www.skiresort.info/ski-resort/spirit-mountain/,59.0,Duluth,Minnesota,11.0,4.0,5.0,2.0,"[-92.23326581159606, 46.70776608553612]",Minnesota,http://www.spiritmt.com/,-92.23326581159606,46.70776608553612
161,Bigrock Mountain,https://www.skiresort.info/ski-resort/bigrock-mountain/,40.0,Houlton,Maine,20.0,2.0,14.0,4.0,,,,,
162,Arctic Valley,https://www.skiresort.info/ski-resort/arctic-valley/,45.0,Anchorage,Alaska,25.0,5.0,10.0,10.0,"[-149.52539031332284, 61.24460151598595]",Alaska,http://www.skiarctic.net,-149.52539031332284,61.24460151598595
163,Shawnee Mountain,https://www.skiresort.info/ski-resort/shawnee-mountain/,65.0,Stroudsburg,Pennsylvania,18.0,4.0,9.0,5.0,"[-75.07815825426358, 41.03619038449615]",Pennsylvania,https://www.shawneemt.com/,-75.07815825426358,41.03619038449615
164,Pine Creek,https://www.skiresort.info/ski-resort/pine-creek/,45.0,Cokeville,Wyoming,16.0,4.0,7.0,5.0,,,,,
165,Wisp – McHenry (Deep Creek Lake),https://www.skiresort.info/ski-resort/wisp-mchenry-deep-creek-lake/,89.0,McHenry,Maryland,16.0,5.6,6.1,4.3,,,,,
166,Kissing Bridge,https://www.skiresort.info/ski-resort/kissing-bridge/,60.0,Boston,Greater Niagara,17.8,4.5,4.8,8.5,"[-78.65601084202274, 42.602269476055376]",New York,,-78.65601084202274,42.602269476055376
167,Skiland – Mt. Aurora,https://www.skiresort.info/ski-resort/skiland-mt-aurora/,40.0,Fairbanks,Alaska,17.0,4.0,9.0,4.0,,,,,
168,Hoodoo Ski Area,https://www.skiresort.info/ski-resort/hoodoo-ski-area/,59.0,Sisters,Oregon,17.0,6.0,8.0,3.0,"[-121.87199999999999, 44.409]",Oregon,,-121.87199999999999,44.409
169,Alpental,https://www.skiresort.info/ski-resort/alpental/,95.0,North Bend,Washington State,9.6,0.5,2.3,6.8,,,,,
170,Eaglecrest – Juneau,https://www.skiresort.info/ski-resort/eaglecrest-juneau/,59.0,Juneau,Alaska,17.0,3.4,6.8,6.8,,,,,
171,Snowy Range,https://www.skiresort.info/ski-resort/snowy-range/,49.0,Centennial,Wyoming,16.5,4.5,9.0,3.0,"[-106.18001008339684, 41.33759991164122]",,,-106.18001008339684,41.33759991164122
172,Plattekill,https://www.skiresort.info/ski-resort/plattekill/,67.0,Roxbury,The Catskills,16.5,4.5,6.0,6.0,,,,,
173,Boyne Mountain,https://www.skiresort.info/ski-resort/boyne-mountain/,98.0,Boyne Falls,Michigan,14.0,4.5,6.0,3.5,"[-84.94010068596937, 45.16371656492347]",Michigan,,-84.94010068596937,45.16371656492347
174,Blue Knob,https://www.skiresort.info/ski-resort/blue-knob/,75.0,Altoona,Pennsylvania,16.0,5.0,8.0,3.0,"[-78.55926771364906, 40.293710702228424]",Pennsylvania,http://www.blueknob.com/,-78.55926771364906,40.293710702228424
175,Nub's Nob Ski Area,https://www.skiresort.info/ski-resort/nubs-nob-ski-area/,85.0,Harbor Springs,Michigan,18.9,6.2,9.0,3.7,,,,,
176,Labrador Mountain,https://www.skiresort.info/ski-resort/labrador-mountain/,61.0,Tully,Finger Lakes,17.0,6.0,6.0,5.0,"[-76.03824443738323, 42.73683617033067]",New York,https://www.skicny.com/labrador/,-76.03824443738323,42.73683617033067
177,Giants Ridge,https://www.skiresort.info/ski-resort/giants-ridge/,58.0,Biwabik,Minnesota,12.0,4.0,5.0,3.0,,,,,
178,Middlebury College Snow Bowl,https://www.skiresort.info/ski-resort/middlebury-college-snow-bowl/,60.0,Hancock,Vermont,15.0,5.0,4.0,6.0,"[-72.95673237563027, 43.93272784537817]",Vermont,,-72.95673237563027,43.93272784537817
179,Pomerelle,https://www.skiresort.info/ski-resort/pomerelle/,45.0,Malta,Idaho,15.0,4.0,7.0,4.0,,,,,
180,Sipapu,https://www.skiresort.info/ski-resort/sipapu/,55.0,Vadito,New Mexico,18.0,3.0,7.0,8.0,"[-105.55222420853926, 36.150093892808954]",New Mexico,,-105.55222420853926,36.150093892808954
181,Catamount,https://www.skiresort.info/ski-resort/catamount/,69.0,Great Barrington,Hudson Valley,15.0,8.0,4.0,3.0,,,,,
182,Beech Mountain,https://www.skiresort.info/ski-resort/beech-mountain/,70.0,Banner Elk,North Carolina,14.0,3.0,7.0,4.0,,,,,
183,Sleeping Giant,https://www.skiresort.info/ski-resort/sleeping-giant/,46.0,Cody,Wyoming,17.0,3.0,8.0,6.0,,,,,
184,Dollar Mountain – Sun Valley,https://www.skiresort.info/ski-resort/dollar-mountain-sun-valley/,139.0,,Idaho,9.0,7.0,2.0,0.0,,,,,
185,Whitetail,https://www.skiresort.info/ski-resort/whitetail/,79.0,Mercersburg,Pennsylvania,10.2,1.5,5.6,3.1,,,,,
186,Mt. Ashland,https://www.skiresort.info/ski-resort/mt-ashland/,52.0,Ashland,Oregon,13.0,1.0,7.0,5.0,,,,,
187,Shanty Creek Resorts – Schuss Mountain,https://www.skiresort.info/ski-resort/shanty-creek-resorts-schuss-mountain/,73.0,Bellaire,Michigan,12.0,5.0,4.0,3.0,,,,,
188,Kelly Canyon,https://www.skiresort.info/ski-resort/kelly-canyon/,42.0,Ririe,Idaho,12.0,4.0,5.0,3.0,,,,,
189,Jiminy Peak,https://www.skiresort.info/ski-resort/jiminy-peak/,91.0,Hancock,Massachusetts,9.1,4.1,2.0,3.0,,,,,
190,Song Mountain,https://www.skiresort.info/ski-resort/song-mountain/,59.0,Tully,Finger Lakes,13.0,4.5,6.0,2.5,"[-76.16071766552183, 42.77205470274995]",New York,,-76.16071766552183,42.77205470274995
191,Crotched Mountain,https://www.skiresort.info/ski-resort/crotched-mountain/,69.0,Keene,New Hampshire,8.0,2.5,4.0,1.5,"[-71.87898794152541, 43.00691872796608]",,https://www.crotchedmtn.com/,-71.87898794152541,43.00691872796608
192,Mt. Kato,https://www.skiresort.info/ski-resort/mt-kato/,46.0,Mankato,Minnesota,12.0,2.5,4.5,5.0,,,,,
193,Loup Loup Ski Bowl,https://www.skiresort.info/ski-resort/loup-loup-ski-bowl/,50.0,Twisp,Washington State,11.0,3.0,5.0,3.0,"[-119.91890274387754, 48.39162365408163]",,http://www.skitheloup.com,-119.91890274387754,48.39162365408163
194,White Pine – Pinedale,https://www.skiresort.info/ski-resort/white-pine-pinedale/,49.0,Pinedale,Wyoming,11.6,3.7,2.6,5.3,,,,,
195,Caberfae Peaks,https://www.skiresort.info/ski-resort/caberfae-peaks/,59.0,Cadillac,Michigan,11.0,4.0,5.0,2.0,,,,,
196,Tahoe Donner,https://www.skiresort.info/ski-resort/tahoe-donner/,89.0,Truckee,Lake Tahoe,14.0,6.0,8.0,0.0,"[-120.26408286891387, 39.35085376104871]",,http://www.tahoedonner.com/,-120.26408286891387,39.35085376104871
197,Big Powderhorn Mountain,https://www.skiresort.info/ski-resort/big-powderhorn-mountain/,69.0,Bessemer,Michigan,10.0,3.5,3.5,3.0,"[-90.05136999999999, 46.48117]",Michigan,https://bigpowderhorn.net/,-90.05136999999999,46.48117
198,Snow King Mountain – Jackson,https://www.skiresort.info/ski-resort/snow-king-mountain-jackson/,59.0,Jackson,Wyoming,9.0,3.0,2.5,3.5,,,,,
199,Bear Creek Mountain Resort,https://www.skiresort.info/ski-resort/bear-creek-mountain-resort/,60.0,Allentown,Pennsylvania,10.0,3.0,4.0,3.0,,,,,
200,Bromley Mountain,https://www.skiresort.info/ski-resort/bromley-mountain/,91.0,Manchester,Vermont,45.0,15.0,18.0,12.0,"[-72.93778544525041, 43.221144172366124]",Vermont,,-72.93778544525041,43.221144172366124
201,Mt. Bohemia,https://www.skiresort.info/ski-resort/mt-bohemia/,68.0,Mohawk,Michigan,13.0,0.0,3.0,10.0,,,,,
202,Swain,https://www.skiresort.info/ski-resort/swain/,59.0,Swain,Chautauqua-Allegheny,10.9,3.0,4.2,3.7,,,,,
203,Suicide Six,https://www.skiresort.info/ski-resort/suicide-six/,75.0,Woodstock,Vermont,10.5,3.5,4.0,3.0,"[-72.54683679447515, 43.66287666988949]",Vermont,https://www.woodstockinn.com/ski-area,-72.54683679447515,43.66287666988949
204,Teton Pass,https://www.skiresort.info/ski-resort/teton-pass/,50.0,Choteau,Montana,15.0,6.0,5.0,4.0,,,,,
205,Meadowlark Ski Lodge,https://www.skiresort.info/ski-resort/meadowlark-ski-lodge/,48.0,Ten Sleep,Wyoming,10.0,3.0,4.0,3.0,,,,,
206,Cooper Spur,https://www.skiresort.info/ski-resort/cooper-spur/,39.0,Hood River,Oregon,10.0,4.0,4.0,2.0,,,,,
207,Oak Mountain,https://www.skiresort.info/ski-resort/oak-mountain/,40.0,Speculator,The Adirondacks,12.0,6.0,4.0,2.0,,,,,
208,Montage Mountain Resort,https://www.skiresort.info/ski-resort/montage-mountain-resort/,67.0,Scranton,Pennsylvania,9.5,2.0,4.0,3.5,,,,,
209,Whaleback,https://www.skiresort.info/ski-resort/whaleback/,45.0,Enfield,New Hampshire,11.5,5.2,2.8,3.5,,,,,
210,Soda Springs,https://www.skiresort.info/ski-resort/soda-springs/,54.0,Truckee,Lake Tahoe,10.0,3.0,5.0,2.0,"[-120.38440964516117, 39.318886009677435]",California,http://www.skisodasprings.com,-120.38440964516117,39.318886009677435
211,Mt. Waterman,https://www.skiresort.info/ski-resort/mt-waterman/,60.0,La Cañada Flintridge,California,10.0,2.0,2.0,6.0,"[-117.9306302030074, 34.34679747479021]",California,http://www.mtwaterman.org/,-117.9306302030074,34.34679747479021
212,West Mountain,https://www.skiresort.info/ski-resort/west-mountain/,79.0,Glens Falls,The Adirondacks,9.7,5.9,2.1,1.7,,,,,
213,Spout Springs  (temporarily closed),https://www.skiresort.info/ski-resort/spout-springs/,35.0,Weston,Oregon,9.5,3.0,5.0,1.5,,,,,
214,Pine Mountain,https://www.skiresort.info/ski-resort/pine-mountain/,45.0,Iron Mountain,Michigan,9.5,2.5,5.5,1.5,,,,,
215,Liberty Mountain,https://www.skiresort.info/ski-resort/liberty-mountain/,77.0,Fairfield,Pennsylvania,9.0,3.0,4.0,2.0,"[-77.3684002381818, 39.75936344272728]",Pennsylvania,,-77.3684002381818,39.75936344272728
216,Marquette Mountain,https://www.skiresort.info/ski-resort/marquette-mountain/,54.0,Marquette,Michigan,10.0,1.5,5.0,3.5,"[-87.42100963404259, 46.504952516170206]",Michigan,,-87.42100963404259,46.504952516170206
217,Anthony Lakes Mountain Resort,https://www.skiresort.info/ski-resort/anthony-lakes-mountain-resort/,40.0,Baker City,Oregon,10.0,2.0,3.8,4.2,"[-118.2399260405556, 44.96044044777777]",Oregon,https://anthonylakes.com/,-118.2399260405556,44.96044044777777
218,Anthony Lakes Mountain Resort,https://www.skiresort.info/ski-resort/anthony-lakes-mountain-resort/,40.0,Baker City,Oregon,10.0,2.0,3.8,4.2,"[-118.2348, 44.9637]",Oregon,,-118.2348,44.9637
219,Otsego – Gaylord,https://www.skiresort.info/ski-resort/otsego-gaylord/,65.0,Gaylord,Michigan,7.0,3.0,2.0,2.0,,,,,
220,Big Squaw,https://www.skiresort.info/ski-resort/big-squaw/,30.0,Bangor,Maine,8.0,3.0,3.0,2.0,"[-69.70281991142855, 45.50191943047622]",Maine,http://www.skibigsquaw.com/,-69.70281991142855,45.50191943047622
221,Mohawk Mountain,https://www.skiresort.info/ski-resort/mohawk-mountain/,67.0,Cornwall,Connecticut,8.0,3.0,2.0,3.0,"[-73.31028392903228, 41.834759101612924]",,http://www.mohawkmtn.com/,-73.31028392903228,41.834759101612924
222,Bear Paw Ski Bowl,https://www.skiresort.info/ski-resort/bear-paw-ski-bowl/,25.0,Havre,Montana,10.0,3.0,6.0,1.0,"[-109.67016220093, 48.164196239666]",Montana,http://skibearpaw.com/,-109.67016220093,48.164196239666
223,Big Bear at Masthope Mountain,https://www.skiresort.info/ski-resort/big-bear-at-masthope-mountain/,64.0,Scranton,Pennsylvania,7.0,3.0,2.0,2.0,,,,,
224,Bousquet,https://www.skiresort.info/ski-resort/bousquet/,47.0,Pittsfield,Massachusetts,8.0,3.0,2.0,3.0,,,,,
225,Alpine Mountain Ski & Snow Tubing Center  (temporarily closed),https://www.skiresort.info/ski-resort/alpine-mountain-ski-snow-tubing-center/,55.0,Henryville,Pennsylvania,8.0,2.0,4.0,2.0,,,,,
226,Royal Mountain,https://www.skiresort.info/ski-resort/royal-mountain/,45.0,Caroga Lake,Capital-Saratoga Region,7.5,2.5,3.0,2.0,"[-74.50704627449666, 43.083763409395985]",New York,,-74.50704627449666,43.083763409395985
227,Badger Pass,https://www.skiresort.info/ski-resort/badger-pass/,62.0,Mariposa,California,10.0,3.5,5.0,1.5,,,,,
228,Afton Alps,https://www.skiresort.info/ski-resort/afton-alps/,58.0,Hastings,Minnesota,8.0,3.0,3.0,2.0,,,,,
229,Massanutten,https://www.skiresort.info/ski-resort/massanutten/,77.0,Massanutten,Virginia,8.0,2.0,3.5,2.5,,,,,
230,Hesperus Ski Area,https://www.skiresort.info/ski-resort/hesperus-ski-area/,39.0,Durango,Colorado,10.0,3.0,5.0,2.0,"[-108.05749023579551, 37.296471016477305]",,http://ski-hesperus.com/,-108.05749023579551,37.296471016477305
231,Spring Mountain,https://www.skiresort.info/ski-resort/spring-mountain/,48.0,Schwenksville,Pennsylvania,8.5,4.0,2.5,2.0,,,,,
232,Roundtop,https://www.skiresort.info/ski-resort/roundtop/,73.0,Lewisberry,Pennsylvania,7.5,1.5,3.0,3.0,,,,,
233,Mt. La Crosse,https://www.skiresort.info/ski-resort/mt-la-crosse/,56.0,La Crosse,Wisconsin,7.0,1.5,3.0,2.5,,,,,
234,Sitzmark,https://www.skiresort.info/ski-resort/sitzmark/,45.0,Oroville,Washington State,7.5,2.0,3.0,2.5,,,,,
235,Mt. Lemmon Ski Valley,https://www.skiresort.info/ski-resort/mt-lemmon-ski-valley/,47.0,Summerhaven,Arizona,8.5,2.5,4.0,2.0,"[-110.78071393510359, 32.44556556186747]",Arizona,http://www.skithelemmon.com/,-110.78071393510359,32.44556556186747
236,Laurel Mountain,https://www.skiresort.info/ski-resort/laurel-mountain/,64.0,Jennerstown,Pennsylvania,8.0,4.0,3.0,1.0,,,,,
237,Norway Mountain,https://www.skiresort.info/ski-resort/norway-mountain/,,Norway,Michigan,8.0,2.5,3.5,2.0,"[-87.86855870907, 45.79081623434654]",Michigan,,-87.86855870907,45.79081623434654
238,Black Mountain – Rumford,https://www.skiresort.info/ski-resort/black-mountain-rumford/,45.0,Rumford,Maine,8.0,2.0,3.5,2.5,,,,,
239,Alpine Valley Resort – Elkhorn,https://www.skiresort.info/ski-resort/alpine-valley-resort-elkhorn/,66.0,Elkhorn,Wisconsin,4.0,1.5,1.5,1.0,,,,,
240,Ski Brule,https://www.skiresort.info/ski-resort/ski-brule/,55.0,Iron River,Michigan,7.5,2.0,4.0,1.5,"[-88.70555992912088, 46.02833367252754]",Michigan,,-88.70555992912088,46.02833367252754
241,Ski Brule,https://www.skiresort.info/ski-resort/ski-brule/,55.0,Iron River,Michigan,7.5,2.0,4.0,1.5,"[-88.699285, 46.02907200000001]",Michigan,,-88.699285,46.02907200000001
242,Cataloochee,https://www.skiresort.info/ski-resort/cataloochee/,70.0,Waynesville,North Carolina,6.0,1.5,3.0,1.5,,,,,
243,Las Vegas Ski and Snowboard Resort – Lee Canyon,https://www.skiresort.info/ski-resort/las-vegas-ski-and-snowboard-resort-lee-canyon/,72.0,Las Vegas,Nevada,7.3,0.3,5.0,2.0,,,,,
244,Hogadon Ski Area,https://www.skiresort.info/ski-resort/hogadon-ski-area/,,Casper,Wyoming,5.0,1.9,1.6,1.5,"[-106.33942777777997, 42.744961111110996]",Wyoming,,-106.33942777777997,42.744961111110996
245,McCauly Mountain,https://www.skiresort.info/ski-resort/mccauly-mountain/,30.0,Old Forge,Central New York,9.0,3.0,4.0,2.0,,,,,
246,Powder Ridge Mountain Park & Resort,https://www.skiresort.info/ski-resort/powder-ridge-mountain-park-resort/,49.0,Middlefield,Connecticut,5.5,2.5,2.0,1.0,,,,,
247,Camden Snow Bowl,https://www.skiresort.info/ski-resort/camden-snow-bowl/,43.0,Camden,Maine,6.0,1.2,3.6,1.2,"[-69.13713665332952, 44.21480709886363]",Maine,http://www.camdensnowbowl.com/,-69.13713665332952,44.21480709886363
248,Mt. Southington,https://www.skiresort.info/ski-resort/mt-southington/,60.0,Southington,Connecticut,5.8,2.0,3.0,0.8,,,,,
249,Snow Trails,https://www.skiresort.info/ski-resort/snow-trails/,52.0,Mansfield,Ohio,5.3,1.5,2.8,1.0,"[-82.50172101875, 40.67106308125001]",Ohio,,-82.50172101875,40.67106308125001
250,Mt. Eyak,https://www.skiresort.info/ski-resort/mt-eyak/,30.0,Cordova,Alaska,5.0,1.0,2.0,2.0,"[-145.7413144808988, 60.55140542528095]",Alaska,,-145.7413144808988,60.55140542528095
251,Wolf Ridge,https://www.skiresort.info/ski-resort/wolf-ridge/,65.0,Mars Hill,North Carolina,6.0,3.0,2.0,1.0,,,,,
252,Alpine Valley – White Lake,https://www.skiresort.info/ski-resort/alpine-valley-white-lake/,58.0,White Lake,Michigan,5.8,2.4,1.6,1.8,,,,,
253,Hunt Hollow Ski Club,https://www.skiresort.info/ski-resort/hunt-hollow-ski-club/,58.0,Naples,Finger Lakes,5.0,2.0,2.0,1.0,,,,,
254,Paoli Peaks,https://www.skiresort.info/ski-resort/paoli-peaks/,45.0,Paoli,Indiana,6.6,2.6,3.0,1.0,"[-86.5111181, 38.55693147857143]",,http://www.paolipeaks.com/,-86.5111181,38.55693147857143
255,Mad River Mountain,https://www.skiresort.info/ski-resort/mad-river-mountain/,49.0,Zanesfield,Ohio,6.3,3.0,2.0,1.3,"[-83.67607720526314, 40.31613978157895]",Ohio,,-83.67607720526314,40.31613978157895
256,Crystal Mountain (MI),https://www.skiresort.info/ski-resort/crystal-mountain-mi/,79.0,Thompsonville,Michigan,4.9,1.2,2.3,1.4,,,,,
257,Nashoba Valley,https://www.skiresort.info/ski-resort/nashoba-valley/,58.0,Westford,Massachusetts,5.8,1.0,3.0,1.8,,,,,
258,Granite Gorge,https://www.skiresort.info/ski-resort/granite-gorge/,30.0,Keene,New Hampshire,6.0,3.0,2.0,1.0,"[-72.21227645874, 42.970994351276985]",New Hampshire,,-72.21227645874,42.970994351276985
259,Bryce Resort,https://www.skiresort.info/ski-resort/bryce-resort/,,Harrisonburg,Virginia,5.0,2.0,2.8,0.2,"[-78.76661840483877, 38.81363279112901]",Virginia,http://www.bryceresort.com/Home.aspx,-78.76661840483877,38.81363279112901
260,King Pine – Purity Spring Resort,https://www.skiresort.info/ski-resort/king-pine-purity-spring-resort/,58.0,East Madison,New Hampshire,5.3,2.8,1.5,1.0,,,,,
261,Pine Knob,https://www.skiresort.info/ski-resort/pine-knob/,57.0,Clarkston,Michigan,5.0,1.0,2.5,1.5,,,,,
262,Pajarito Mountain,https://www.skiresort.info/ski-resort/pajarito-mountain/,49.0,Los Alamos,New Mexico,26.0,8.0,12.0,6.0,"[-106.39205836478088, 35.89077152616687]",New Mexico,,-106.39205836478088,35.89077152616687
263,Pajarito Mountain,https://www.skiresort.info/ski-resort/pajarito-mountain/,49.0,Los Alamos,New Mexico,26.0,8.0,12.0,6.0,"[-106.39027777777997, 35.89416666666698]",New Mexico,,-106.39027777777997,35.89416666666698
264,Mont Ripley,https://www.skiresort.info/ski-resort/mont-ripley/,52.0,Hancock,Michigan,6.9,2.0,2.2,2.7,"[-88.55979878571426, 47.1300279]",Michigan,,-88.55979878571426,47.1300279
265,Mount Pleasant,https://www.skiresort.info/ski-resort/mount-pleasant/,38.0,Cambridge Springs,Pennsylvania,5.0,2.0,2.0,1.0,,,,,
266,Quechee Lakes Ski Area,https://www.skiresort.info/ski-resort/quechee-lakes-ski-area/,49.0,White River Junction,Vermont,5.0,2.0,2.5,0.5,,,,,
267,Mountain High North,https://www.skiresort.info/ski-resort/mountain-high-north/,84.0,Wrightwood,California,5.0,2.0,3.0,0.0,,,,,
268,Hidden Valley (MO),https://www.skiresort.info/ski-resort/hidden-valley-mo/,49.0,Eureka,Missouri,4.0,1.0,2.0,1.0,,,,,
269,Mt. Brighton,https://www.skiresort.info/ski-resort/mt-brighton/,59.0,Brighton,Michigan,6.2,1.0,3.5,1.7,"[-83.8089685705089, 42.53943325248633]",Michigan,,-83.8089685705089,42.53943325248633
270,Mount Peter,https://www.skiresort.info/ski-resort/mount-peter/,62.0,Warwick,Hudson Valley,3.8,1.0,2.0,0.8,,,,,
271,Nordic Mountain,https://www.skiresort.info/ski-resort/nordic-mountain/,47.0,Wild Rose,Wisconsin,6.5,2.0,3.0,1.5,,,,,
272,Seven Oaks,https://www.skiresort.info/ski-resort/seven-oaks/,40.0,Boone,Iowa,4.0,1.5,2.0,0.5,,,,,
273,Ober Gatlinburg,https://www.skiresort.info/ski-resort/ober-gatlinburg/,65.0,Gatlinburg,Tennessee,6.2,0.7,4.2,1.3,,,,,
274,Wilmot Mountain,https://www.skiresort.info/ski-resort/wilmot-mountain/,68.0,Wilmot,Wisconsin,4.0,1.4,1.6,1.0,"[-88.19061113611112, 42.497832860185184]",Wisconsin,,-88.19061113611112,42.497832860185184
275,Moose Mountain,https://www.skiresort.info/ski-resort/moose-mountain/,40.0,Fairbanks,Alaska,25.0,3.0,12.0,10.0,"[-147.97399520873995, 64.944268838489]",Alaska,http://www.shredthemoose.com,-147.97399520873995,64.944268838489
276,Moose Mountain,https://www.skiresort.info/ski-resort/moose-mountain/,40.0,Fairbanks,Alaska,25.0,3.0,12.0,10.0,"[-71.07935428619398, 43.539091555952986]",New Hampshire,,-71.07935428619398,43.539091555952986
277,Shanty Creek Resorts – Summit Mountain,https://www.skiresort.info/ski-resort/shanty-creek-resorts-summit-mountain/,73.0,Bellaire,Michigan,4.0,0.8,2.5,0.7,,,,,
278,Hilltop – Anchorage,https://www.skiresort.info/ski-resort/hilltop-anchorage/,34.0,Anchorage,Alaska,5.0,4.0,1.0,0.0,,,,,
279,Snowstar,https://www.skiresort.info/ski-resort/snowstar/,35.0,Andalusia,Illinois,4.0,0.5,1.5,2.0,,,,,
280,Mystic Mountain – Farmington,https://www.skiresort.info/ski-resort/mystic-mountain-farmington/,43.0,Farmington,Pennsylvania,3.9,2.3,1.0,0.6,,,,,
281,Mt. Ashwabay – Salmo,https://www.skiresort.info/ski-resort/mt-ashwabay-salmo/,24.0,Salmo,Wisconsin,4.0,1.5,1.2,1.3,,,,,
282,Snow Creek,https://www.skiresort.info/ski-resort/snow-creek/,47.0,Weston,Missouri,3.2,1.3,1.8,0.1,"[-94.96950136046512, 39.465580605813955]",Missouri,,-94.96950136046512,39.465580605813955
283,Snow Creek,https://www.skiresort.info/ski-resort/snow-creek/,47.0,Weston,Missouri,3.2,1.3,1.8,0.1,"[-94.968631267548, 39.465238458164]",Missouri,http://skisnowcreek.com/,-94.968631267548,39.465238458164
284,Antelope Butte,https://www.skiresort.info/ski-resort/antelope-butte/,20.0,Sheridan,Wyoming,20.0,4.0,10.0,6.0,,,,,
285,Wild Mountain,https://www.skiresort.info/ski-resort/wild-mountain/,56.0,Taylors Falls,Minnesota,4.8,1.1,1.6,2.1,,,,,
286,Powder Ridge,https://www.skiresort.info/ski-resort/powder-ridge/,48.0,Kimball,Minnesota,4.0,2.0,1.5,0.5,"[-94.30815931999997, 45.34353101]",Minnesota,,-94.30815931999997,45.34353101
287,Treetops,https://www.skiresort.info/ski-resort/treetops/,,Gaylord,Michigan,4.4,0.3,1.9,2.2,,,,,
288,Lost Valley,https://www.skiresort.info/ski-resort/lost-valley/,55.0,Auburn,Maine,2.0,1.0,0.5,0.5,"[-88.22683453559897, 42.435073793684]",Illinois,,-88.22683453559897,42.435073793684
289,Summit Ski Area at Mt. Hood,https://www.skiresort.info/ski-resort/summit-ski-area-at-mt-hood/,36.0,Governemt Camp,Oregon,4.0,2.0,2.0,0.0,,,,,
290,Skeetawk – Hatcher Pass,https://www.skiresort.info/ski-resort/skeetawk-hatcher-pass/,39.0,,Alaska,2.5,1.0,0.8,0.7,,,,,
291,Great Bear Ski Valley,https://www.skiresort.info/ski-resort/great-bear-ski-valley/,29.0,Sioux Falls,South Dakota,3.8,2.6,1.2,0.0,,,,,
292,Dartmouth Skiway,https://www.skiresort.info/ski-resort/dartmouth-skiway/,50.0,Hanover,New Hampshire,16.0,4.0,8.0,4.0,"[-72.09867614047621, 43.78537507619051]",New Hampshire,,-72.09867614047621,43.78537507619051
293,McIntyre,https://www.skiresort.info/ski-resort/mcintyre/,38.0,Manchester,New Hampshire,3.0,2.5,0.5,0.0,,,,,
294,Stagecoach Mountain  (temporarily closed),https://www.skiresort.info/ski-resort/stagecoach-mountain/,,,Colorado,,,,,,,,,
295,Elko Snobowl,https://www.skiresort.info/ski-resort/elko-snobowl/,20.0,Elko,Nevada,3.0,1.5,1.5,0.0,,,,,
